"locus_tag"	"symbol"	"gene_name"	"old_locus_tag"	"product"	"eggNOG_name"	"eggNOG_description"	"GO_component"	"GO_function"	"GO_process"	"eggNOG_GOs"	"KEGG_ko"	"KEGG_Pathway"	"KEGG_Module"	"KEGG_Reaction"	"KEGG_rclass"	"eggNOG_evalue"
"SPY_RS00355"	"rplB"	"rplB"	"SPy_0052"	"50S ribosomal protein L2"	"rplB"	"One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity"	"GO:0000315 - organellar large ribosomal subunit [Evidence IEA] | GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0002181,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	"ko:K02886"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"6.89e-194"
"SPY_RS00360"	"rpsS"	"rpsS"	"SPy_0053"	"30S ribosomal protein S19"	"rpsS"	"Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA"	"GO:0000314 - organellar small ribosomal subunit [Evidence IEA] | GO:0022627 - cytosolic small ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0000028,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006996,GO:0008150,GO:0009987,GO:0015935,GO:0016043,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0032991,GO:0034622,GO:0042254,GO:0042255,GO:0042274,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043933,GO:0044085,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071826,GO:0071840,GO:1990904"	"ko:K02965"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"7.57e-62"
"SPY_RS00365"	"rplV"	"rplV"	"SPy_0055"	"50S ribosomal protein L22"	"rplV"	"The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome"	"GO:0000311 - plastid large ribosomal subunit [Evidence IEA] | GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904"	"ko:K02890"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"2.85e-70"
"SPY_RS00370"	"rpsC"	"rpsC"	"SPy_0056"	"30S ribosomal protein S3"	"rpsC"	"Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation"	"GO:0000312 - plastid small ribosomal subunit [Evidence IEA] | GO:0022627 - cytosolic small ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0002181,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	"ko:K02982"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"5.46e-152"
"SPY_RS00375"	"rplP"	"rplP"	"SPy_0057"	"50S ribosomal protein L16"	"rplP"	"Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs"	"GO:0000315 - organellar large ribosomal subunit [Evidence IEA] | GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0019843,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0097159,GO:1901363,GO:1990904"	"ko:K02878"	"ko03010,map03010"	"M00178"	"-"	"-"	"5.95e-92"
"SPY_RS00380"	"rpmC"	"rpmC"	"SPy_0059"	"50S ribosomal protein L29"	"rpmC"	"Belongs to the universal ribosomal protein uL29 family"	"GO:0000315 - organellar large ribosomal subunit [Evidence IEA] | GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904"	"ko:K02904"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"1.76e-32"
"SPY_RS00385"	"rpsQ"	"rpsQ"	"SPy_0060"	"30S ribosomal protein S17"	"rpsQ"	"One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA"	"GO:0005840 - ribosome [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	"ko:K02961"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"3.0799999999999996e-52"
"SPY_RS00390"	"rplN"	"rplN"	"SPy_0061"	"50S ribosomal protein L14"	"rplN"	"Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome"	"GO:0000315 - organellar large ribosomal subunit [Evidence IEA] | GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0019843,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0070180,GO:0097159,GO:1901363,GO:1990904"	"ko:K02874"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"1.8e-79"
"SPY_RS00395"	"rplX"	"rplX"	"SPy_0062"	"50S ribosomal protein L24"	"rplX"	"One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit"	"GO:0000315 - organellar large ribosomal subunit [Evidence IEA] | GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	"ko:K02895"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"1.63e-63"
"SPY_RS00400"	"rplE"	"rplE"	"SPy_0063"	"50S ribosomal protein L5"	"rplE"	"This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits"	"GO:0005840 - ribosome [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0000027,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	"ko:K02931"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"9.72e-121"
"SPY_RS00405"	"rpsN"	"-"	"SPy_0064"	"type Z 30S ribosomal protein S14"	"rpsN"	"Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site"	"GO:0005840 - ribosome [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"-"	"ko:K02954"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"5.82e-39"
"SPY_RS00410"	"rpsH"	"rpsH"	"SPy_0065"	"30S ribosomal protein S8"	"rpsH"	"One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit"	"GO:0005840 - ribosome [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015935,GO:0022626,GO:0022627,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904"	"ko:K02994"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"2.6600000000000004e-88"
"SPY_RS00415"	"rplF"	"rplF"	"SPy_0066"	"50S ribosomal protein L6"	"rplF"	"This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center"	"GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA] | GO:0019843 - rRNA binding [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0002181,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	"ko:K02933"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"2.4e-120"
"SPY_RS00420"	"rplR"	"rplR"	"SPy_0067"	"50S ribosomal protein L18"	"rplR"	"This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance"	"GO:0000315 - organellar large ribosomal subunit [Evidence IEA] | GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0008097,GO:0015934,GO:0019843,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0097159,GO:1901363,GO:1990904"	"ko:K02881"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"1.59e-74"
"SPY_RS00425"	"rpsE"	"rpsE"	"SPy_0069"	"30S ribosomal protein S5"	"rpsE"	"Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body"	"GO:0000312 - plastid small ribosomal subunit [Evidence IEA] | GO:0022627 - cytosolic small ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	"ko:K02988"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"8.51e-105"
"SPY_RS00430"	"rpmD"	"rpmD"	"SPy_0071"	"50S ribosomal protein L30"	"rpmD"	"ribosomal protein l30"	"GO:0000315 - organellar large ribosomal subunit [Evidence IEA] | GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904"	"ko:K02907"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"1.9999999999999998e-32"
"SPY_RS00435"	"rplO"	"rplO"	"SPy_0072"	"50S ribosomal protein L15"	"rplO"	"binds to the 23S rRNA"	"GO:0000315 - organellar large ribosomal subunit [Evidence IEA] | GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904"	"ko:K02876"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"2.53e-86"
"SPY_RS00440"	"secY"	"secY"	"SPy_0073"	"preprotein translocase subunit SecY"	"secY"	"The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently"	"GO:0005886 - plasma membrane [Evidence IEA]"	"GO:0015450 - protein-transporting ATPase activity [Evidence IEA]"	"GO:0043952 - protein transport by the Sec complex [Evidence IEA]"	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	"ko:K03076"	"ko02024,ko03060,ko03070,map02024,map03060,map03070"	"M00335"	"-"	"-"	"2.4e-296"
"SPY_RS00445"	"adk"	"-"	"SPy_0074"	"adenylate kinase"	"adk"	"Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism"	"-"	"-"	"-"	"GO:0003674,GO:0003824,GO:0004017,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009123,GO:0009165,GO:0009987,GO:0015949,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0018130,GO:0019205,GO:0019438,GO:0019637,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0046940,GO:0050145,GO:0055086,GO:0071704,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901576"	"ko:K00939"	"ko00230,ko00730,ko01100,ko01110,ko01130,map00230,map00730,map01100,map01110,map01130"	"M00049"	"R00127,R01547,R11319"	"RC00002"	"3.84e-145"
"SPY_RS00450"	"infA"	"infA"	"SPy_0075"	"translation initiation factor IF-1"	"infA"	"One of the essential components for the initiation of protein synthesis. Stabilizes the binding of IF-2 and IF-3 on the 30S subunit to which N-formylmethionyl-tRNA(fMet) subsequently binds. Helps modulate mRNA selection, yielding the 30S pre- initiation complex (PIC). Upon addition of the 50S ribosomal subunit IF-1, IF-2 and IF-3 are released leaving the mature 70S translation initation complex"	"-"	"GO:0003743 - translation initiation factor activity [Evidence IEA]"	"GO:0006413 - translational initiation [Evidence IEA]"	"GO:0001871,GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0009986,GO:0030246,GO:0030247,GO:0043021,GO:0043022,GO:0044424,GO:0044444,GO:0044464,GO:0044877,GO:2001065"	"ko:K02518"	"-"	"-"	"-"	"-"	"1.91e-42"
"SPY_RS00455"	"rpmJ"	"rpmJ"	"SPy_0076"	"50S ribosomal protein L36"	"rpmJ"	"Belongs to the bacterial ribosomal protein bL36 family"	"GO:0005840 - ribosome [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"-"	"ko:K02919"	"ko03010,map03010"	"M00178"	"-"	"-"	"1.3300000000000001e-21"
"SPY_RS00460"	"rpsM"	"rpsM"	"SPy_0077"	"30S ribosomal protein S13"	"rpsM"	"Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits"	"GO:0022627 - cytosolic small ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0022613,GO:0032991,GO:0034641,GO:0034645,GO:0042254,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0071704,GO:0071840,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	"ko:K02952"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"2.99e-73"
"SPY_RS00465"	"rpsK"	"rpsK"	"SPy_0078"	"30S ribosomal protein S11"	"rpsK"	"Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome"	"GO:0005840 - ribosome [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0000028,GO:0000462,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006139,GO:0006364,GO:0006396,GO:0006412,GO:0006518,GO:0006725,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016043,GO:0016070,GO:0016072,GO:0019538,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0030490,GO:0032991,GO:0034470,GO:0034622,GO:0034641,GO:0034645,GO:0034660,GO:0042254,GO:0042255,GO:0042274,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046483,GO:0048027,GO:0065003,GO:0070181,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	"ko:K02948"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"1.02e-76"
"SPY_RS00470"	"rpoA"	"-"	"SPy_0080"	"DNA-directed RNA polymerase subunit alpha"	"rpoA"	"DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates"	"-"	"-"	"-"	"GO:0003674,GO:0003824,GO:0003899,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006351,GO:0006354,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0032774,GO:0034062,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0097659,GO:0097747,GO:0140098,GO:1901360,GO:1901362,GO:1901576"	"ko:K03040"	"ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020"	"M00183"	"R00435,R00441,R00442,R00443"	"RC02795"	"7.009999999999999e-216"
"SPY_RS00475"	"rplQ"	"rplQ"	"-"	"50S ribosomal protein L17"	"rplQ"	"ribosomal protein l17"	"GO:0005762 - mitochondrial large ribosomal subunit [Evidence IEA] | GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904"	"ko:K02879"	"ko03010,map03010"	"M00178"	"-"	"-"	"5.04e-82"
